fecha_completa;dia;mes;anio
1994,1 de enero,Año Nuevo,Sábado;1;1;1994
1994,10 de enero,Epifanía,Lunes;10;1;1994
1994,21 de marzo,Día de San José,Lunes;21;3;1994
1994,31 de marzo,Jueves Santo,Jueves;31;3;1994
1994,1 de abril,Viernes Santo,Viernes;1;4;1994
1994,1 de mayo,Día del trabajo,Domingo;1;5;1994
1994,16 de mayo,Ascención de Jesús,Lunes;16;5;1994
1994,6 de junio,Corpus Christi,Lunes;6;6;1994
1994,13 de junio,Sagrado Corazón de Jesús,Lunes;13;6;1994
1994,4 de julio,San Pedro y San Pablo,Lunes;4;7;1994
1994,20 de julio,Día de la independencia,Miércoles;20;7;1994
1994,7 de agosto,Batalla de Boyacá,Domingo;7;8;1994
1994,15 de agosto,Asunción de la Virgen,Lunes;15;8;1994
1994,17 de octubre,Día de la raza,Lunes;17;10;1994
1994,7 de noviembre,Todos los Santos,Lunes;7;11;1994
1994,14 de noviembre,Independencia de Cartagena,Lunes;14;11;1994
1994,8 de diciembre,Inmaculada Concepción,Jueves;8;12;1994
1994,25 de diciembre,Navidad,Domingo;25;12;1994
1995,1 de enero,Año Nuevo,Domingo;1;1;1995
1995,9 de enero,Epifanía,Lunes;9;1;1995
1995,20 de marzo,Día de San José,Lunes;20;3;1995
1995,13 de abril,Jueves Santo,Jueves;13;4;1995
1995,14 de abril,Viernes Santo,Viernes;14;4;1995
1995,1 de mayo,Día del trabajo,Lunes;1;5;1995
1995,29 de mayo,Ascención de Jesús,Lunes;29;5;1995
1995,19 de junio,Corpus Christi,Lunes;19;6;1995
1995,26 de junio,Sagrado Corazón de Jesús,Lunes;26;6;1995
1995,3 de julio,San Pedro y San Pablo,Lunes;3;7;1995
1995,20 de julio,Día de la independencia,Jueves;20;7;1995
1995,7 de agosto,Batalla de Boyacá,Lunes;7;8;1995
1995,21 de agosto,Asunción de la Virgen,Lunes;21;8;1995
1995,16 de octubre,Día de la raza,Lunes;16;10;1995
1995,6 de noviembre,Todos los Santos,Lunes;6;11;1995
1995,13 de noviembre,Independencia de Cartagena,Lunes;13;11;1995
1995,8 de diciembre,Inmaculada Concepción,Viernes;8;12;1995
1995,25 de diciembre,Navidad,Lunes;25;12;1995
1996,1 de enero,Año Nuevo,Lunes;1;1;1996
1996,8 de enero,Epifanía,Lunes;8;1;1996
1996,25 de marzo,Día de San José,Lunes;25;3;1996
1996,4 de abril,Jueves Santo,Jueves;4;4;1996
